icao,time,lambda
EDDF,04:32 UTC+02,0.2657 aircraft/min
EDDF,06:41 UTC+02,0.7325 aircraft/min
EDDF,08:55 UTC+02,0.4991 aircraft/min
EDDF,10:33 UTC+02,0.8550 aircraft/min
EDDF,12:14 UTC+02,0.4530 aircraft/min
EDDF,14:31 UTC+02,0.8757 aircraft/min
EDDF,16:31 UTC+02,0.4270 aircraft/min
EDDF,18:29 UTC+02,0.9034 aircraft/min
EDDF,22:04 UTC+02,0.1182 aircraft/min
EGKK,02:40 UTC+01,0.0671 aircraft/min
EGKK,06:54 UTC+01,0.2858 aircraft/min
EGKK,10:10 UTC+01,0.4195 aircraft/min
EGKK,23:26 UTC+01,0.2328 aircraft/min
EGLL,00:25 UTC+01,0.0000 aircraft/min
EGLL,04:56 UTC+01,0.1409 aircraft/min
EGLL,07:16 UTC+01,0.6410 aircraft/min
EGLL,22:24 UTC+01,0.1424 aircraft/min
EHAM,02:47 UTC+02,0.0537 aircraft/min
EHAM,06:30 UTC+02,0.4222 aircraft/min
EHAM,07:25 UTC+02,0.9062 aircraft/min
EHAM,08:53 UTC+02,0.4416 aircraft/min
EHAM,10:28 UTC+02,0.9006 aircraft/min
EHAM,11:30 UTC+02,0.5334 aircraft/min
EHAM,12:38 UTC+02,1.0207 aircraft/min
EHAM,13:35 UTC+02,0.4785 aircraft/min
EHAM,15:00 UTC+02,1.0653 aircraft/min
EHAM,16:23 UTC+02,0.5189 aircraft/min
EHAM,18:26 UTC+02,1.1255 aircraft/min
EHAM,19:52 UTC+02,0.4881 aircraft/min
EHAM,22:26 UTC+02,0.1942 aircraft/min
LEMD,01:00 UTC+02,0.0386 aircraft/min
LEMD,04:30 UTC+02,0.1240 aircraft/min
LEMD,06:12 UTC+02,0.0293 aircraft/min
LEMD,07:14 UTC+02,0.3511 aircraft/min
LEMD,09:19 UTC+02,0.5870 aircraft/min
LEMD,11:18 UTC+02,0.3470 aircraft/min
LEMD,13:02 UTC+02,0.7084 aircraft/min
LEMD,15:14 UTC+02,0.3574 aircraft/min
LEMD,17:56 UTC+02,0.5905 aircraft/min
LEMD,20:01 UTC+02,0.6972 aircraft/min
LEMD,22:33 UTC+02,0.3309 aircraft/min
LEMD,23:35 UTC+02,0.1493 aircraft/min
LFPG,01:24 UTC+02,0.0530 aircraft/min
LFPG,05:18 UTC+02,0.1852 aircraft/min
LFPG,07:08 UTC+02,0.5127 aircraft/min
LFPG,08:06 UTC+02,1.0003 aircraft/min
LFPG,09:11 UTC+02,0.4170 aircraft/min
LFPG,10:32 UTC+02,0.8515 aircraft/min
LFPG,12:11 UTC+02,0.3950 aircraft/min
LFPG,13:06 UTC+02,0.6116 aircraft/min
LFPG,15:29 UTC+02,0.6669 aircraft/min
LFPG,19:09 UTC+02,1.0227 aircraft/min
LFPG,20:01 UTC+02,0.4632 aircraft/min
LFPG,22:16 UTC+02,0.3120 aircraft/min
LFPG,23:21 UTC+02,0.0631 aircraft/min
LGAV,01:27 UTC+03,0.0445 aircraft/min
LGAV,06:45 UTC+03,0.4592 aircraft/min
LGAV,07:16 UTC+03,0.2315 aircraft/min
LGAV,12:03 UTC+03,0.3028 aircraft/min
LGAV,21:27 UTC+03,0.1993 aircraft/min
LIRF,03:29 UTC+02,0.1019 aircraft/min
LIRF,06:47 UTC+02,0.5395 aircraft/min
LIRF,09:24 UTC+02,0.3155 aircraft/min
LIRF,11:49 UTC+02,0.6698 aircraft/min
LIRF,12:30 UTC+02,0.8899 aircraft/min
LIRF,14:48 UTC+02,0.3965 aircraft/min
LIRF,18:58 UTC+02,0.7465 aircraft/min
LIRF,19:31 UTC+02,1.0422 aircraft/min
LIRF,21:37 UTC+02,0.2130 aircraft/min
